handle,image_path,alt
lavado-completo-la-cochera-place,product-images/lavado-coches/lavado-completo/lavado-completo-06.webp,Lavado completo espuma activa
lavado-vapor-interior-la-cochera-place,product-images/lavado-vapor/lavado-vapor-interior/lavado-vapor-interior-04.webp,Lavado a vapor interior profundo
lavado-vapor-interior-la-cochera-place,product-images/lavado-vapor/lavado-vapor-interior/lavado-vapor-interior-05.webp,Desinfeccion interior con vapor
lavado-vapor-interior-la-cochera-place,product-images/lavado-vapor/lavado-vapor-interior/lavado-vapor-interior-06.webp,Acabado interior a vapor
lavado-salon-detailing-interior-la-cochera-place,product-images/lavado-interior/lavado-salon-interior/lavado-salon-interior-04.webp,Detailing de salon interior premium
lavado-salon-detailing-interior-la-cochera-place,product-images/lavado-interior/lavado-salon-interior/lavado-salon-interior-05.webp,Limpieza completa de cabina
lavado-salon-detailing-interior-la-cochera-place,product-images/lavado-interior/lavado-salon-interior/lavado-salon-interior-06.webp,Acabado interior de alta calidad
motor-a-vapor-la-cochera-place,product-images/motor-limpieza/motor-a-vapor/motor-a-vapor-04.webp,Limpieza de motor a vapor sin residuos
motor-a-vapor-la-cochera-place,product-images/motor-limpieza/motor-a-vapor/motor-a-vapor-05.webp,Detalle de motor antes y despues
motor-a-vapor-la-cochera-place,product-images/motor-limpieza/motor-a-vapor/motor-a-vapor-06.webp,Compartimiento de motor limpio
pulido-faros-la-cochera-place,product-images/pulido-faros/pulido-faros/pulido-faros-03.webp,Pulido de faros opacos
pulido-faros-la-cochera-place,product-images/pulido-faros/pulido-faros/pulido-faros-04.webp,Recuperacion de transparencia en faros
pulido-faros-la-cochera-place,product-images/pulido-faros/pulido-faros/pulido-faros-05.webp,Detalle de faro restaurado
pulido-faros-la-cochera-place,product-images/pulido-faros/pulido-faros/pulido-faros-06.webp,Resultado final pulido de faros
pulido-pintura-la-cochera-place,product-images/pulido-pintura/pulido-pintura/pulido-pintura-03.webp,Pulido de pintura con correccion
pulido-pintura-la-cochera-place,product-images/pulido-pintura/pulido-pintura/pulido-pintura-04.webp,Brillo profundo en carroceria
pulido-pintura-la-cochera-place,product-images/pulido-pintura/pulido-pintura/pulido-pintura-05.webp,Eliminacion de micro-rayas
pulido-pintura-la-cochera-place,product-images/pulido-pintura/pulido-pintura/pulido-pintura-06.webp,Acabado espejo de pintura
descontaminado-pintura-la-cochera-place,product-images/descontaminado-pintura/descontaminado-pintura/descontaminado-pintura-02.webp,Descontaminado de superficie automotriz
descontaminado-pintura-la-cochera-place,product-images/descontaminado-pintura/descontaminado-pintura/descontaminado-pintura-03.webp,Eliminacion de contaminantes adheridos
descontaminado-pintura-la-cochera-place,product-images/descontaminado-pintura/descontaminado-pintura/descontaminado-pintura-04.webp,Preparacion de pintura para sellado
descontaminado-pintura-la-cochera-place,product-images/descontaminado-pintura/descontaminado-pintura/descontaminado-pintura-05.webp,Tratamiento de pintura descontaminada
descontaminado-pintura-la-cochera-place,product-images/descontaminado-pintura/descontaminado-pintura/descontaminado-pintura-06.webp,Acabado limpio sin particulas
ceramico-carpro-la-cochera-place,product-images/ceramico-carpro/ceramico-carpro/ceramico-carpro-03.webp,Aplicacion de recubrimiento ceramico
ceramico-carpro-la-cochera-place,product-images/ceramico-carpro/ceramico-carpro/ceramico-carpro-04.webp,Proteccion ceramica de alta duracion
ceramico-carpro-la-cochera-place,product-images/ceramico-carpro/ceramico-carpro/ceramico-carpro-05.webp,Brillo y repelencia hidrofobica
ceramico-carpro-la-cochera-place,product-images/ceramico-carpro/ceramico-carpro/ceramico-carpro-06.webp,Detalle de acabado ceramico
cueros-aros-la-cochera-place,product-images/cuidado-cueros-aros/cueros-aros/cueros-aros-03.webp,Hidratacion y limpieza de cueros
cueros-aros-la-cochera-place,product-images/cuidado-cueros-aros/cueros-aros/cueros-aros-04.webp,Tratamiento de aros y llantas
cueros-aros-la-cochera-place,product-images/cuidado-cueros-aros/cueros-aros/cueros-aros-05.webp,Cuidado interior de asientos de cuero
cueros-aros-la-cochera-place,product-images/cuidado-cueros-aros/cueros-aros/cueros-aros-06.webp,Acabado final en cueros y aros
